Ensembl Gene ID	Gene Symbol	Assigned Tier	Possible Tiers	Pharos Protein Family
ENSG00000213465.8	ARL2	T1	T1	Enzyme
ENSG00000158825.6	CDA	T1	T1	Enzyme
ENSG00000188641.14	DPYD	T1	T1	Enzyme
ENSG00000167658.16	EEF2	T1	T1	Other
ENSG00000116016.14	EPAS1	T1	T1	Other
ENSG00000117525.14	F3	T1	T1	Other
ENSG00000159131.17	GART	T1	T1	Other
ENSG00000182054.10	IDH2	T1	T1	Enzyme
ENSG00000089692.9	LAG3	T1	T1	Other
ENSG00000166963.13	MAP1A	T1	T1	Other
ENSG00000143217.9	NECTIN4	T1	T1	Other
ENSG00000167207.13	NOD2	T1	T1	Other
ENSG00000070501.12	POLB	T1	T1	Enzyme
ENSG00000177084.18	POLE	T1	T1	Enzyme
ENSG00000100479.13	POLE2	T1	T1	Enzyme
ENSG00000148229.13	POLE3	T1	T1	Enzyme
ENSG00000115350.12	POLE4	T1	T1	Enzyme
ENSG00000205220.12	PSMB10	T1	T1	Enzyme
ENSG00000126067.12	PSMB2	T1	T1	Enzyme
ENSG00000240065.8	PSMB9	T1	T1	Enzyme
ENSG00000100316.16	RPL3	T1	T1	Other
ENSG00000048392.12	RRM2B	T1	T1	Enzyme
ENSG00000129214.15	SHBG	T1	T1	Other
ENSG00000026751.17	SLAMF7	T1	T1	Other
ENSG00000184292.7	TACSTD2	T1	T1	Other
ENSG00000082898.17	XPO1	T1	T1	Other
ENSG00000138363.15	ATIC	T1	T1	Other
ENSG00000110092.4	CCND1	T1	T1	Other
ENSG00000113851.14	CRBN	T1	T1	Other
ENSG00000130816.16	DNMT1	T1	T1	Enzyme
ENSG00000047849.21	MAP4	T1	T1	Other
ENSG00000008018.9	PSMB1	T1	T1	Enzyme
ENSG00000186716.21	BCR	T1	T1	Other
ENSG00000078018.20	MAP2	T1	T1	Other
ENSG00000101868.11	POLA1	T1	T1	Enzyme
ENSG00000146648.18	EGFR	T1	T1,T2,T3,T4,T5	Kinase
ENSG00000128052.10	KDR	T1	T1,T3,T4	Kinase
ENSG00000176890.16	TYMS	T1	T1,T4	Enzyme
ENSG00000196230.13	TUBB	T1	T1,T2,T3,T4	Other
ENSG00000102755.12	FLT1	T1	T1,T2,T3,T4,T5	Kinase
ENSG00000157404.16	KIT	T1	T1,T3,T4,T5	Kinase
ENSG00000037280.16	FLT4	T1	T1,T3,T4,T5	Kinase
ENSG00000131747.15	TOP2A	T1	T1,T2,T3,T4	Enzyme
ENSG00000113721.14	PDGFRB	T1	T1,T2,T3,T4,T5	Kinase
ENSG00000134853.12	PDGFRA	T1	T1,T2,T3,T4,T5	Kinase
ENSG00000141736.13	ERBB2	T1	T1,T3,T4,T5	Kinase
ENSG00000165731.20	RET	T1	T1,T4,T5	Kinase
ENSG00000169083.17	AR	T1	T1,T2,T3,T4	Nuclear Receptor
ENSG00000097007.19	ABL1	T1	T1,T3,T4	Kinase
ENSG00000171094.18	ALK	T1	T1,T3,T4,T5	Kinase
ENSG00000137869.15	CYP19A1	T1	T1,T4	Enzyme
